CITY,STORE_NAME,ADDRESS,OPEN_TIME,PHONE_NR,LAT,LONG
Tallinn,Humana,"Järve, Pärnu mnt 238","E-L 10-21, P* 10-19",58058812,59.3972865,24.7259934
Tallinn,Humana,"Kaubamaja, Gonsiori 2","E-R 9-21, L-P* 9-19",54540333,59.43473,24.76427
Tallinn,Humana,"Magistrali, Sõpruse pst 201","E-L 10-20, P* 10-18",5146687,59.401456,24.6970564
Tallinn,Humana,Mustamäe tee 18,"E-R 9-20, L 10-18, P* 10-17",5543690,59.421254,24.6967702
Tallinn,Humana,Narva mnt 4,"E-R 9-20, L 10-18, P* 10-17",54540222,59.4370087,24.7597801
Tallinn,Humana,Pärnu mnt 66,"E-R 9-19, L 10-18, P* 10-17",55636860,59.4249741,24.7421982
Tallinn,Humana,"Pääsküla, Pärnu mnt 534b","E-R 10-19, L-P* 10-17",53073943,59.3585119,24.6294875
Tallinn,Humana,Vikerlase 19,"E-R 9-20, L-P* 10-18",55612372,59.4394751,24.8441485
Tallinn,Humana,Õismäe tee 107,"E-R 9-19, L 9-18, P* 9-17",54555577,59.4114816,24.6372697
Tartu,Humana,Kuperjanovi 20,"E-R 10-19, L-P* 10-17",5539237,58.3765042,26.7136433
Tartu,Humana,Kompanii 1c,"E-R 10-19, L-P* 10-17",55626634,58.3809783,26.7240162
Pärnu,Humana,Riia mnt 106a,"E-R 9-19, L-P* 10-17",55671419,58.3709743,24.5469536
Pärnu,Humana,Hommiku 2,"E-L 10-20, P* 10-18",55608454,58.3865868,24.503115
Narva,Humana,Tallinna mnt 41,E-P* 10-20,54540240,59.3810817,28.1753118
Jõhvi,Humana,Narva mnt 8,"E-R 9-19, L 9-17, P* 9-16",58778577,59.4510951,24.840007
Rakvere,Humana,F. G. Adoffi 11,"E-R 9-19, L 10-17, P* 10-16",5032063,59.3488154,26.3632277
Haapsalu,Humana,Rannarootsi tee 1,"E-R 10-20, L-P* 10-18",53481091,58.9359139,23.5721038
